sample output of normal1.py:
 -7.79764452e-02 -5.32391366e-02  5.35040570e-02  6.70942689e-02
  8.58158560e-03 -1.45313129e-01 -1.12276887e-01 -5.56043923e-02
 -7.21736582e-02  1.10719772e-02 -2.82390528e-02  1.40907347e-01
 -1.74391533e-01  5.05221094e-02  8.99704653e-02  1.40003840e-01
  5.87144332e-03 -6.78249950e-02 -1.14630932e-01 -1.74421974e-02
  3.19040043e-02 -7.93238257e-02 -6.25358413e-02  1.53407722e-01
  1.14009520e-01  1.36280978e-01  3.89516753e-01  9.61192191e-02
 -2.46024884e-02 -5.79054609e-02 -5.19547893e-02  1.72024161e-01
 -1.02755653e-01  3.07269390e-01  9.22854574e-02  3.40162225e-02
  1.88180870e-02  8.05349334e-02  7.55938667e-02 -1.34083328e-02
 -3.60731936e-02 -2.69648224e-03 -4.91690917e-02 -4.82556142e-02
  1.52582203e-01 -9.85336903e-02  1.48145957e-02 -1.41003821e-02
  2.31679010e-01 -1.52981491e-01  1.75970785e-01 -1.59277657e-01
  2.32419023e-02 -4.57320468e-02  1.58939146e-01  6.27081851e-02
  5.90597980e-02 -6.41798283e-02 -1.47444932e-01 -1.26647265e-02
 -4.32485014e-02  1.00707116e-01  3.12398563e-02  1.09268116e-01
  5.23759950e-02 -3.59400408e-02 -5.66280586e-02 -2.07932240e-02
 -2.16476132e-01  1.12506911e-01  3.51898486e-02  2.12864693e-01
  7.84500443e-03 -1.06063116e-01  4.32568307e-02  6.17941070e-02
  5.72177520e-02 -3.57770547e-02 -9.21510804e-02 -2.59773066e-03
 -1.31939303e-01 -3.09835672e-02  4.64406107e-02 -4.12970091e-02
 -2.52793426e-02  4.23028946e-02 -6.68190679e-02  6.14886648e-02
  1.26828450e-02  2.11409030e-03  5.88851003e-02 -5.31900051e-02
 -7.19967558e-02 -1.00835228e-01  7.18097555e-03  2.18305481e-02
  2.27421333e-02  1.29428328e-01 -5.93819537e-02  7.06833967e-02
  3.82608628e-02 -1.38281277e-02 -5.29257629e-02 -1.58930638e-01
  1.00896591e-01  1.31198085e-01 -2.45541422e-01 -3.63795513e-02
  9.57455816e-02  6.26388812e-02 -7.65016829e-02 -1.36335121e-01
 -4.83064080e-02 -1.43709013e-01 -5.58596611e-02 -2.59296770e-01
 -9.47294291e-03 -4.28091195e-02 -5.27023057e-03 -6.08879656e-02
 -1.32849214e-01 -4.59661916e-02 -3.18678025e-02 -2.45577828e-02
 -7.97527654e-03 -1.60291532e-01 -1.55398732e-01 -1.09995903e-01
  5.01635861e-02  4.99880295e-02 -1.50926263e-02  7.41307479e-02
 -2.07972141e-02 -1.28698267e-01  7.99161978e-02  6.25236189e-02
  1.91570189e-01  4.39934192e-02 -3.01532964e-02 -1.80970444e-01
  3.41601033e-02 -1.14798310e-01 -7.68548141e-02 -1.23531351e-01
  4.30361285e-02  1.44948392e-01 -4.93526361e-02 -1.76453035e-01
 -8.15831593e-02  2.74375629e-02 -1.37664877e-02 -1.86238618e-01
 -1.61223530e-01  3.69140333e-02  2.07176314e-01 -1.43596618e-02
  1.02062777e-01  6.68433933e-02  3.64975546e-02  9.55919884e-02
 -8.45521458e-02 -8.60743962e-02 -3.26387521e-02 -1.03646713e-01
 -1.96194183e-01  1.85272306e-02 -2.84470740e-02 -9.43064358e-03
 -6.83439303e-03  9.55630658e-02 -2.52329423e-02  1.33108851e-02
 -4.13462135e-02 -2.19544109e-01 -5.34344464e-02  1.96331728e-02
  1.31036417e-02 -1.75431156e-01  1.13898456e-01 -1.00517578e-01
 -6.18032667e-02  3.75132080e-02  1.04534694e-01  8.90331533e-02
  3.27356362e-03  2.27459212e-01  3.33053925e-02  3.41873930e-02
 -8.93713873e-02 -1.62975516e-01 -4.24499276e-02  2.96109431e-01
  1.27552844e-01 -1.29355421e-01  1.52217205e-01  3.84922993e-02
 -1.04368631e-01 -1.70993168e-01  1.39508033e-02  1.31397520e-01
 -5.37537113e-02  1.21668797e-01 -4.08882143e-02  1.50833770e-01
 -1.25938555e-01  4.46712241e-02 -7.87745277e-02  6.51318200e-02
 -1.27173365e-01 -1.16245645e-01 -2.05303449e-01 -1.25338026e-01
 -1.60480033e-01 -2.84792555e-02 -1.14221118e-01  1.55222549e-01
  7.90269513e-02  2.17805921e-01 -2.06049385e-03 -2.45208951e-01
  1.27011181e-01  2.64103902e-01  2.83389201e-05  1.43737581e-01
 -4.12252601e-03 -1.08241843e-01 -4.56593580e-02  1.58531242e-02
 -3.38214107e-03 -4.13937571e-02  1.01931734e-02  8.17220601e-03
  4.89670590e-02 -4.22154242e-02  1.34622819e-01  2.01682107e-01
  3.17356108e-02 -1.34084280e-01  4.81590123e-02  1.37816791e-01
 -1.04056860e-01 -6.53701799e-02 -2.30439904e-02  2.03600843e-01
  1.30955379e-01  1.45451242e-02 -4.47608870e-02 -1.87765059e-01
 -5.93121286e-02  8.84703065e-03 -4.26624085e-02  2.08890073e-01
  1.79426867e-03  5.56001035e-02 -1.57635341e-01  1.27510125e-01
 -2.12466475e-02 -6.44623991e-03  1.98976678e-01  1.58154277e-01
  1.20737194e-01  9.61471523e-02 -7.27730596e-02 -9.50905746e-02
  1.79717431e-02 -4.16052564e-02  5.86416942e-02  1.82971829e-01
 -4.61607735e-02  5.58618525e-02  8.95967813e-02 -6.92095065e-02
 -6.50637615e-02 -4.33842926e-02 -5.79057039e-02 -1.13463365e-01
 -3.67163368e-01 -1.74385759e-01 -2.27066269e-01 -9.50604992e-02
 -7.19973410e-03  1.43643453e-01  1.10064938e-01 -1.99935468e-02
  1.32076317e-01 -9.10147300e-02 -1.16401111e-01  1.79089456e-01
 -3.25116566e-01 -9.18377890e-02 -3.72396390e-02  1.39348742e-02
  5.18034040e-02  7.58928127e-02  2.32692691e-01 -1.02651405e-01
 -1.45665548e-02  1.57685900e-02  3.51250600e-01  6.02973100e-03
 -4.04510851e-02 -2.12470297e-02 -1.14859133e-01  9.62816372e-02
  7.78620674e-02 -7.21271133e-02 -1.00065491e-01  6.10649564e-02
  4.90778138e-02 -8.41444933e-02 -8.14638307e-03 -1.60444484e-02
 -1.40458201e-02 -7.71129052e-02 -5.26423042e-02 -4.29401068e-02
 -3.50356390e-02  2.21428890e-01  1.86268743e-01 -1.78435121e-01
 -6.86093494e-02 -1.75472732e-01  1.01950563e-01  9.24032054e-02
  5.85590039e-03  1.25703392e-02  7.88621315e-02  1.00732228e-02
  8.69162108e-03 -1.38878655e-01  2.04731841e-01  1.00879178e-01
  1.45040433e-03 -4.81598543e-02  3.93692293e-02 -3.06078873e-02
 -1.98762498e-02  5.47450031e-02 -6.45207149e-02  7.16535884e-02
 -4.10549564e-02  1.06731870e-01  1.66647618e-02  3.07894185e-02
 -2.86095900e-02  6.41334759e-02 -6.41573161e-02 -7.24139989e-02
  1.30702663e-01 -1.15385683e-01  7.27712811e-02 -4.13755730e-02
 -7.56904529e-02 -2.32648678e-01 -2.02256655e-02 -8.58547795e-02
 -6.31722555e-02 -6.97939233e-02 -8.63101353e-02  3.71597696e-02
  5.18730971e-02  1.41234440e-01  4.33278015e-02 -1.04579811e-02
 -3.09841233e-02 -1.53121127e-02  6.64980208e-03 -1.04611630e-01
 -7.31397886e-02  6.36481922e-02 -1.07412579e-01  2.52712918e-02
 -7.34305227e-03 -2.14032936e-03  2.81727157e-02  3.82971371e-03
 -1.43725811e-01  5.00549183e-03  2.16562502e-01 -5.14278763e-02
 -4.24039728e-02 -2.11148142e-03  7.17312409e-02  5.94603525e-02
 -2.87228412e-03  8.42965477e-02  8.96199750e-02 -2.54542692e-03
 -6.21409653e-02 -3.94687082e-02  1.01496897e-01  1.35531675e-01
  2.34640352e-02 -1.51471827e-01 -7.85241824e-02 -4.94140990e-02
 -3.55625293e-02  5.47521421e-02 -5.28764362e-02  6.50656995e-02
 -2.95965205e-02  7.35968093e-02 -5.90296861e-02  5.66235681e-03
 -4.91575291e-02  1.22603573e-01 -1.58165522e-01 -4.31206350e-02
 -9.99387204e-02  9.70454308e-02 -2.74538067e-02 -3.41620722e-02
  8.28018818e-02  1.08969362e-02 -6.76284702e-02  1.75707930e-02
 -2.48123317e-01 -2.71644230e-02 -1.12986824e-01  4.07893014e-02
  4.16304886e-02  1.27898696e-01 -1.32229457e-01  9.90072871e-02
 -8.29658695e-02  7.85514929e-02  9.81955854e-02  7.53582826e-02
 -9.07502097e-02  4.34881309e-02  1.42211982e-01 -7.45803070e-02
 -2.69966862e-02 -5.41742014e-02  1.27763923e-01  3.64688646e-02
 -7.07143040e-02  5.86596332e-02 -4.20297711e-02  3.41085922e-02
 -7.36030122e-03 -1.86517462e-02 -6.69181548e-02 -9.63903002e-02
 -2.35133732e-01  7.95624303e-02 -7.27505073e-02 -2.39250136e-02
  1.11854907e-03 -8.51562082e-02 -1.58447121e-01 -8.42372172e-02
 -1.87121720e-01  2.03055189e-02 -6.30950951e-02  1.71915670e-01
  8.19879674e-03 -3.63375605e-02 -8.41091226e-03 -1.16604129e-01
 -1.17307957e-01 -7.51516841e-02 -2.19608108e-02  4.96984758e-02
  1.64984563e-02 -3.59573196e-03  3.38162530e-02 -9.28638958e-02
  7.07691693e-02  2.66958192e-01 -1.68901584e-01 -1.32988415e-01
  6.07942863e-02  9.28530509e-02  6.71777832e-02 -7.54670441e-02
  5.75623961e-02 -1.33820193e-01 -1.37409977e-02 -2.68015586e-02
 -2.07141845e-01  5.79052765e-02 -4.28985852e-03 -3.66751255e-02
  6.49240444e-02  1.64030167e-01 -1.21196224e-01 -3.51895079e-02
 -6.74407372e-02 -9.80488767e-02 -5.46339507e-03  8.38512665e-02
 -2.58414119e-02 -2.34064517e-02 -2.42561455e-02 -2.48081712e-02
 -4.52265293e-02 -1.60520992e-01 -2.52167332e-02  7.59558714e-02
  1.76875212e-04  1.52183295e-01 -1.15409261e-01  1.35861761e-01
  5.90734310e-02 -3.77909743e-02  4.85527883e-02 -6.56379611e-02
  3.82793540e-02  2.15318810e-01 -2.57620349e-02 -3.58376508e-02
  7.62810540e-02 -1.78309570e-01  5.51236100e-02 -2.04865673e-01
 -1.05532517e-02  1.93309030e-01 -8.50921122e-02  1.21848625e-02
  5.29724936e-02 -5.11613394e-02  1.29192780e-01 -1.00161700e-01
  7.19039684e-02  1.40516260e-02 -1.67094582e-01 -3.34067314e-02]

