sample output of normal2.py
  1.25097051e-01  2.71770174e-01 -5.01326897e-02 -4.09133153e-02
  1.48419360e-01  2.54087454e-01  1.79988908e-01  2.91124179e-01
  1.27081713e-01  7.85281111e-02  1.53569850e-01  6.20241956e-02
  7.19784328e-02  1.72777093e-01  2.33971292e-01  2.39690664e-01
  1.52350804e-02  2.60272787e-02  1.13307754e-01 -4.00516918e-02
 -1.56214952e-02  6.94439073e-02  8.27489508e-02  2.39577865e-01
  2.06704962e-01  1.58805700e-01  1.71707977e-01 -2.40660007e-02
  1.28693315e-01  1.74207312e-01 -1.40084126e-02  2.63246719e-01
  1.08071514e-01  3.54651062e-01 -7.21725050e-02  9.98197909e-02
  2.18388169e-01  1.18149425e-01 -9.48365865e-04  1.56663628e-01
  1.65430279e-01  3.83085389e-02  2.15460770e-01  2.43617546e-03
  5.97081965e-02 -1.27170284e-02  1.09739095e-01 -1.62287510e-02
  8.21537345e-02  1.60163777e-01  1.49700481e-02 -1.17921858e-02
  1.05472325e-01  4.10125725e-02  9.37113070e-02 -1.91747118e-01
  1.25872219e-02  4.33146649e-02  2.02260622e-01  1.58398568e-01
  1.54196020e-01  1.21489935e-01 -1.00988990e-02  1.78530440e-01
  1.95697280e-01  1.90677777e-01 -7.64447785e-02  2.46509984e-01
  2.72276282e-01  2.18553379e-01  1.38573844e-01  1.11535275e-01
  1.19922192e-01  1.12659895e-01  9.39778692e-02  3.96261532e-02
  1.20020868e-01  1.57174535e-01  1.49618168e-01  1.35234994e-01
  1.54424109e-01  2.31482388e-01  4.75210740e-02  1.69679142e-01
  1.01822766e-01  1.59079590e-01  1.14930734e-01  2.52670414e-01
  7.40198616e-02  8.22972647e-03  1.86768757e-01  1.80461917e-01
  1.36440804e-01  9.74707088e-02  2.35374452e-01  3.06579196e-01
  3.07664421e-01 -5.76729832e-02  1.73289283e-01 -1.01424956e-01
 -1.27866314e-01  9.53183726e-02  2.04304432e-01 -2.21797167e-02
  1.01175800e-01 -3.33932731e-02  4.25540127e-01  2.20220523e-01
  1.76729219e-01  1.30781338e-01 -9.48560962e-04  1.52364500e-01
  2.37302249e-01  7.90141462e-03 -5.37086252e-02  6.85384488e-02
  9.72791355e-02 -1.46101557e-01  1.39896771e-01  2.05971950e-01
 -8.39826290e-02  2.69434054e-01  1.67356931e-01  1.48182804e-01
  7.97472379e-02  2.13000610e-01  8.46905117e-02  2.26296438e-01
  2.96550872e-01 -3.49436030e-03  2.22281626e-01  2.19338631e-01
  1.64032471e-01  1.62061630e-01  1.05987286e-01 -8.67772375e-02
  2.16547441e-02  8.84003474e-02  1.04974357e-01  1.64471043e-01
  3.31000140e-02  6.89620176e-02  1.44007958e-01  1.15604846e-01
  3.70166786e-02  5.91639600e-02  1.95569084e-01  2.95890054e-01
  1.93371700e-01  5.15951169e-02  2.27524171e-01  1.74188163e-01
  1.21503487e-01  1.86256184e-01  3.32228244e-01  4.01408582e-02
  1.34238615e-02  1.59815510e-01  1.06051166e-01  2.90060889e-01
  2.24603807e-01 -2.36203042e-01  1.67714467e-01  1.25460888e-01
  1.54041898e-01  8.77475569e-02  4.31039655e-02  5.33708982e-02
  4.78531587e-02  5.25292306e-02  1.47218574e-01  1.11388136e-01
  5.35236933e-02  6.80205787e-02  1.90006532e-01  9.25716057e-02
  1.66254995e-01  1.25796941e-01  2.07512597e-01 -2.27166384e-02
  1.69974691e-01  2.10922276e-01 -7.53265229e-02  2.32836902e-01
  1.50578962e-01  1.57468548e-01  3.55352125e-01  1.88195883e-01
 -6.86926741e-03 -4.90964938e-03  2.53170702e-01  1.25281874e-01
  1.88600377e-01  2.32980196e-02  7.05539486e-02  1.26073077e-01
  1.29214561e-01 -1.93378939e-02 -7.01717713e-02  1.08662041e-01
  1.95881329e-01  2.73083630e-01  1.53229577e-01  3.07854019e-01
 -1.10782725e-01  2.93643081e-01 -7.17148451e-02  2.01239672e-01
  2.22721991e-01  1.52099735e-01  2.12737234e-01  1.59107935e-01
 -9.33790295e-02  3.42902714e-01  5.13720642e-02  9.33168881e-02
  1.23812639e-01  2.01737855e-01  7.00374689e-02  9.62552536e-02
  2.67189114e-02  6.91054027e-02  1.28025151e-01  1.38163760e-03
  7.29530969e-02 -5.18935701e-03 -4.02385586e-02  1.12621749e-01
  1.65186204e-01  6.36518700e-02  4.22835960e-02  3.14928296e-03
  5.77509369e-02  2.33813405e-02 -7.64478550e-02  1.50043273e-02
  1.87362990e-01  1.88287160e-01  1.28970158e-01  2.53188319e-01
  1.44163046e-01  6.66323928e-02  9.95092878e-02  2.63123911e-01
  1.94621588e-01  1.15701291e-01  1.85506570e-01  2.90248695e-02
  3.47877726e-01  1.09274734e-01  3.69058258e-03 -4.37751210e-02
 -1.91725967e-01  1.91901332e-01  1.50182575e-01  2.95789887e-01
 -6.81711164e-02  3.12809494e-01 -1.51156654e-01  9.63117190e-05
  1.03273224e-02  2.57314631e-01  2.27498509e-01  6.95279477e-02
  2.46579612e-01  1.43759742e-01  8.46900442e-02  3.67591757e-02
  5.48982813e-02  2.05924944e-01 -7.22586054e-02  2.99300047e-03
  1.11082832e-01  2.02342331e-01  1.25797926e-01 -2.58692199e-02
  1.03928590e-01  4.34579875e-02  1.27514181e-01  6.64575537e-02
  2.21810581e-01 -2.39287151e-02  6.90460102e-02  3.09948129e-01
  2.68166629e-01  1.73218454e-01  1.76470721e-01  2.25277661e-01
  2.82666665e-01  1.46729764e-01  1.52071747e-01  4.19873237e-02
  3.89477739e-02  4.19909579e-03  2.24950259e-01  2.75527702e-01
  1.67756685e-01  1.80898287e-01  1.87188352e-01 -1.00741098e-02
  1.94401370e-01  4.93779072e-02  7.63082874e-02  1.88200947e-02
 -1.07602484e-01  1.23583351e-01  1.21192233e-01  9.85496691e-02
 -1.30188787e-01  6.17775165e-02  1.42478023e-01 -2.40121277e-02
 -2.07996736e-02  1.19590165e-01  2.43162164e-02  2.36384614e-01
  1.95449400e-01  9.96219698e-02  3.16446991e-01  1.57017480e-01
  8.41060473e-02  2.91315493e-02 -3.54485865e-02  2.00600970e-01
  9.04213156e-02  3.63383446e-01 -2.08611030e-02  5.47322415e-02
  1.92451987e-01 -6.59682375e-02  1.94640039e-01  5.57882131e-02
  2.57160659e-01  5.66554803e-03  4.92861521e-02  1.84794432e-01
  1.80352173e-01 -9.55750696e-02  4.35963950e-02 -7.45352531e-03
  1.47462151e-01  5.07717163e-02  1.01638566e-02 -2.73678956e-02
  3.27816192e-01  4.06354859e-02  2.85592928e-01 -1.11802471e-01
  2.43145613e-01 -5.84444717e-02  2.49041899e-01 -2.63255960e-02
  4.12943239e-02 -8.31944230e-02  2.80957103e-04  2.02787176e-01
  1.44992769e-01  8.77768242e-04  4.23782551e-04  7.75640658e-02
  1.91678444e-01  1.34906617e-01  9.06138064e-02 -3.62579058e-03
  1.27043081e-01 -8.75750736e-02  1.04153072e-01 -3.65849354e-02
  8.99187494e-02  9.46273419e-03  2.80731808e-01  2.01443016e-01
  2.84794580e-01  1.30516177e-01  1.39135056e-01  1.43250259e-01
  1.00218588e-02  1.70068099e-01  2.74415623e-03  9.91292274e-02
  1.71035399e-01  1.60271966e-01  1.01758832e-01  1.19745701e-01
 -6.16798817e-03  1.38894513e-01  2.28624268e-01  1.76615321e-01
  1.21083562e-01  1.03644126e-02  2.12797540e-01  6.96991602e-02
  1.27389584e-01  1.07453455e-01 -1.14256992e-01  2.76498273e-01
  5.11696105e-02  2.26720819e-01  2.13532185e-01  1.55385693e-01
  3.48071678e-01  2.90255900e-01  6.81584932e-02  1.42034435e-01
  2.49604224e-02 -3.75420427e-02  1.17632091e-01  2.12600728e-02
  9.48206521e-02  1.51396387e-01 -4.89744444e-02 -1.48025093e-02
 -1.14138813e-02  1.80893508e-01  1.14956117e-01  9.45232637e-02
  8.94657438e-02  2.30312611e-01  2.55042708e-01  1.29406055e-01
 -6.57601406e-02  1.34353628e-01  5.31192359e-02  5.22002094e-02
  1.55968389e-01  1.34958683e-01  1.87233416e-02 -1.44392193e-01
  1.46095616e-01  9.06853321e-02 -4.10785065e-02 -6.34595466e-02
 -9.06025128e-02  1.26945995e-01 -3.67417072e-02  1.15662938e-01
  1.64725408e-01 -2.11820912e-02  7.69989999e-02 -7.97753626e-02
  9.63582953e-02  1.99043813e-01  2.21325045e-01  5.18679860e-02
 -5.36891882e-03  2.37444293e-01  8.10504872e-02  7.06086206e-02
  1.00311593e-01 -1.07033166e-02  1.91295861e-01  3.59931536e-01
  7.96899320e-02  1.48586233e-01 -2.79381343e-02  3.23867743e-01
  5.96941648e-02  1.22816835e-01  1.59645074e-01 -2.72270749e-02
  1.85197189e-01  1.88501052e-01  3.13602854e-01  3.92263107e-02
  2.54053962e-01  2.44969665e-01  8.90717202e-03  3.13048095e-02
  5.38006309e-02  1.71831785e-01  5.40941726e-02  1.21513861e-01
  3.05244802e-01  1.37966077e-01  9.45497212e-02  3.22891455e-02
  1.13218190e-01 -1.83004807e-01  1.14760643e-01  1.87890256e-01
  5.48683717e-02 -5.82093248e-02  1.78047963e-01  5.03569313e-02
  2.45738396e-01  1.74746603e-01  1.42449111e-01  1.05795252e-01
  1.32511117e-01 -5.09743394e-02  2.27201224e-02  1.91613374e-01
  9.16847635e-02  1.48515651e-01 -1.01439045e-01  6.86104514e-02
 -3.91336607e-02  1.41809161e-01 -8.96167412e-02  1.50935774e-01
  3.45416897e-02  2.20159699e-01  5.43217208e-02  2.60502620e-01
  7.44471100e-02  2.25572756e-01 -3.07398089e-02  7.91613140e-02
  2.97602958e-01  1.92351964e-01  1.66101675e-01  2.06047420e-01
  4.96563491e-02  3.57664283e-02  8.78572784e-02  8.08545525e-02
  1.88013613e-01  1.04278209e-01  7.67652101e-02  4.98827880e-02
  2.45063728e-01  1.88897178e-01  1.74936755e-02  1.76103950e-01
  1.24434057e-01 -6.05736106e-02  2.00598771e-01  1.67255205e-01
 -5.75007873e-02 -1.11011890e-02 -7.11016628e-02  1.56220933e-01
  2.13652785e-01  1.58682332e-02 -2.51928946e-02 -7.23236841e-02
  6.15266707e-02  1.30707972e-01  1.52874311e-01  7.53175832e-02
  1.87252481e-01  2.28843258e-01 -5.03137070e-02  1.67114754e-01
  6.36334823e-02  1.30836040e-01 -5.85163527e-02  7.32918262e-02
 -2.41569901e-02  3.34647384e-01 -5.73168154e-02 -1.46251889e-02
  2.28086679e-04  1.02575974e-01  2.19395190e-01  7.73521103e-02
 -1.58596754e-03  2.28636128e-01  1.58178640e-01  3.11654454e-01
  1.26589420e-01  2.32713121e-01  4.13887746e-02 -8.69813377e-02
  2.22763485e-01  1.57660171e-01  1.85722828e-01  2.23292579e-01
  7.59806824e-03  2.54731847e-01  9.44020815e-02  1.90412509e-01
  2.00902868e-01  1.08248775e-01  7.78337024e-02  2.01223797e-01
  2.44477488e-01  5.71151424e-02  1.78504503e-01  8.18614128e-02
  8.44285173e-02  1.26813440e-01  6.08239395e-02  1.93285615e-01
  2.02787826e-01 -2.59311877e-02  1.16398517e-01  1.04232960e-01
  1.00173477e-01  1.83219314e-01  1.42624959e-01  2.90486559e-01
  1.27413249e-01  3.54732097e-02  2.37154829e-01  9.80526624e-02
  3.46141935e-01  5.95282370e-02  4.14771157e-02 -3.40224660e-02
  3.66412695e-02  1.91712685e-01 -1.45425628e-02  2.99788787e-01
  2.52885756e-01  3.24527508e-02 -1.56691897e-02 -3.19576056e-02
  1.84900735e-01  1.90358944e-01  2.19845422e-01  2.39641568e-02
  1.20396764e-01  1.11962855e-01  6.40089857e-02  9.55579270e-02
 -5.01117167e-02  4.23021471e-02 -1.64444444e-02 -4.96692874e-02
 -1.54372814e-01  1.20569137e-01  2.01281055e-02 -1.79293082e-01
  1.72734103e-02  1.36077531e-01  4.33580359e-02  2.03682939e-01
  1.18159012e-01 -1.52325465e-03  4.49713223e-02  8.53535084e-02
  1.55921185e-01  1.91305073e-01 -1.24354112e-01  1.25129252e-01
  2.28109148e-01  7.94674957e-02  1.06094412e-01  1.50397467e-01
  8.00989490e-02  1.58538799e-01  2.16602333e-01  7.41449238e-02
  1.08647014e-01  1.77182282e-01 -9.51728642e-03  3.60471236e-02
  2.99660105e-01  1.06765324e-02  6.59754326e-02 -2.88565080e-02
  1.17756811e-01 -2.61281675e-03  4.21859152e-02  1.17933835e-01
  6.07405486e-03  1.85701817e-01 -1.06075813e-02  2.59644532e-01
  2.17494727e-01  2.09300271e-01  8.67046689e-02  2.02075128e-01
  1.55157374e-01  4.25473446e-02  2.68938930e-01  2.17861733e-01
  1.70251846e-01  1.21071529e-01  4.60626628e-02  1.74857640e-01
 -2.02351221e-02  5.22710175e-02  1.71938994e-01  1.34327232e-01
  1.03639498e-01  9.54197364e-02  1.48940298e-03  5.18682840e-02
  2.20522269e-02  1.30830647e-01  3.09200115e-02  8.57078572e-02
 -6.64885197e-02  1.07410196e-01  2.59862097e-01  1.51716439e-01
 -3.88625712e-02  2.54682248e-01 -5.70104399e-02  9.96236168e-02
  2.02355762e-01  4.04695644e-02 -4.73640085e-02  1.36262637e-01
 -3.73170776e-02  6.21503421e-02  1.88454507e-01 -9.25943650e-02
  5.84108826e-02 -1.99044262e-02  1.68731436e-01  2.38869651e-01
  2.52356687e-02  1.51411857e-01 -2.25853520e-02  1.35211114e-01
 -3.04626776e-02  2.53219442e-01  1.47138265e-01  2.16576683e-01
  1.00500181e-01 -3.79484204e-02 -3.03821601e-02  1.97076820e-01
  1.26182702e-01  4.17506277e-02  2.45674904e-01 -1.27274456e-02
  1.45052211e-01  5.91704606e-02  1.18609074e-01  1.80294417e-01
  3.89968574e-01 -1.74989712e-02  1.94984427e-01  1.18303112e-01
 -1.34530733e-02  4.79209784e-02  1.02580836e-01 -3.31034356e-03
  1.92421320e-01  1.37716868e-01  6.00759267e-02  2.18678120e-02
  9.10348663e-02  1.60005894e-01  1.84414997e-01 -4.04361619e-02
  1.65494423e-01  1.35060103e-01 -3.02702814e-02  6.91991314e-02
  2.35431035e-01  1.16501819e-01 -1.02661810e-02  9.07173926e-02
  9.46142040e-03  1.70907152e-01  8.05327910e-03  6.81675418e-02
  3.64255885e-02  1.15137415e-01  9.73277383e-02  3.50535068e-01
  2.12109608e-01  1.14359556e-01  3.82723418e-02  2.33943314e-01
  1.48849344e-01  1.09054444e-01 -1.80080412e-02  2.04593547e-01
  1.03981258e-01  9.82364142e-02  1.37537856e-01  1.32397685e-01
  2.32014306e-01  2.85077359e-02  1.07208831e-01  1.31601201e-01
  7.81249104e-02 -6.79030147e-02 -5.00959499e-02  1.28729706e-02
  7.08333199e-02  1.54034958e-01  9.54827780e-02  2.61285099e-01
 -9.82805452e-02 -2.18113083e-02  6.83781286e-02  1.79332605e-01
 -1.42589701e-03  1.06264664e-01  1.23844300e-01 -6.47858442e-02
  1.51805746e-01  1.09330977e-01  2.11283526e-01  1.01723552e-01
  2.32308070e-01  2.11771765e-01  9.78068793e-02 -1.21837597e-01
  1.98760528e-01 -1.13694477e-03  3.29848698e-01 -1.29292992e-01
 -1.61267044e-03  1.14725633e-01  1.07849557e-01  2.90878685e-01
  1.74552627e-01  2.38036767e-01  2.08703766e-02 -4.05297248e-02
  2.67262658e-01  9.66447384e-02  2.15802828e-01  1.52044521e-01
  3.37607188e-02  2.76693893e-01  1.36326968e-01  1.07528826e-01
  2.52676866e-01 -4.37558112e-02  7.48577625e-02  1.31363091e-01
  1.35340682e-01  3.11881395e-02  9.53334969e-02  7.37301090e-02
  7.48201110e-02  1.10436269e-01 -2.01446232e-03 -2.68768258e-02
  1.50064473e-02  1.29921519e-01  2.39480248e-01 -3.48602405e-02
  3.83943761e-02  8.96917001e-02  9.27285963e-02  6.12613094e-02
  1.27104788e-01  1.64882009e-01  3.63987314e-03  1.57325061e-01
  2.87724077e-01  1.95125269e-01 -2.06747564e-02  1.18170798e-01
  1.03059406e-01  1.66775764e-01  2.39099584e-01  1.04725267e-01
  1.02798258e-01 -2.17866792e-03  2.70489446e-01  2.25407386e-01]

